package_id	version	cache_directory	nupkg_sha256	nuspec_sha256	metadata_sha256	sha512_file_sha256
Hexalith.EventStore.Contracts	3.106.0	hexalith.eventstore.contracts/3.106.0	380328f3a0a32682ebee276ff5caac6e3203b036c8b69e062fa5821d626fcd54	799a24f9a648c306299f1fa876794bc4192b2e59141771265fabb534c3e5067a	a4979e5c749d1a31ce929bd6c0cd470b2b9c43328e3421331497a60abf87dce7	e5e3a1e8e32c6c02c635fe2de191abe1b8132d7cdba9ae063e2a72df842303f3
Hexalith.EventStore.Client	3.106.0	hexalith.eventstore.client/3.106.0	69095ccea3530af97af662681be1a4bd29d248fae4ab34f9edd9c2d195bd0426	d7ec08340fcbe6edd6a9b5c49263cf7320ec729108e3d7081151112f28ac4b8d	9827333acc7b01737d8d17b9280fca2dad066cc508db0658cb493d862a65a4cc	5ae321dd28717b9514ff52fbadb8e6b612b332262a5063d09a9a189946bd3be9
Hexalith.EventStore.Server	3.106.0	hexalith.eventstore.server/3.106.0	43ab6cac0370f0c9d7fe61a8061d2b715cb1e72e6d1f4b33394daee1806d8f1b	0e1f7610e15f2ba57a77752f99cdf23a926e647793f4787754d479a14f4c8ee5	a1d95a905c04dadc1c1b37b718871e560d6ecd0c1cde0c8960f47e922a967ffc	adf61648b120401d907bcae7eba727d00c39e898aacfc6b440f53e6ecaa077c8
Hexalith.EventStore.SignalR	3.106.0	hexalith.eventstore.signalr/3.106.0	d712654d88c1031f249f772c012b1c81ee7504f4b225b7133b74dfc92a9ee99d	3334b063673e17f1254137b3fee9356896d91af51f67e4d8e75e5f23019c6428	fd70421ff87b7209f518deece4fa8e90da098057704054b8a4ea494bf09cd5df	6abff0a569c758b8eca7b9e98abc5f2600b7cef97a56262125fef818d339536f
Hexalith.EventStore.Testing	3.106.0	hexalith.eventstore.testing/3.106.0	10ff13be333e1755991ea48c0debf768aebd9bfdbd26442df2d8d2d3c6cdfe73	56cc7354d05ead7a663a7d07a857ef7874401afd7e8efb658a0e86f63caeb990	b7f70a6d5a4f4a58595b7035d0e1b637ff1660786e186970df9fa31ef150ab7f	8c4ff4a120b8d77edde53f00415e41cd66595bff5e49eef2612a04decd315163
Hexalith.EventStore.Testing.Integration	3.106.0	hexalith.eventstore.testing.integration/3.106.0	03e2dd28ced826de0cb645a2054480f86d8c6d22f009c0aa744bb4fdb3ed9529	cdd7814d1b8bd7318ffc2317326796538409a3b610d19df7b9f82a249a61a2da	58e2998102832b672b3e5049f14fba408bf4afdda4f9b780f991853014a740d6	4e2eb7a7ccbb07a57249a7c3bc342a3a233f314cea996bfbb8a8d28c552da37b
Hexalith.EventStore.Aspire	3.106.0	hexalith.eventstore.aspire/3.106.0	35b41c1c335b3b9e47ae50b4151fd9281c07fd576a63e673e450baa39dfd67eb	23fcbb9defe807041c39af20440844f8e38babcee26655e866273d05bc43abf4	ae5c2ff6f9358b53cf8992c2e5a4b57164207c3bb4eb161c9bf371ae26e1d77c	8f26a8f2348da1bb7a1b8a4f26471dc488fed3fa69497346435637a96b91a67c
Hexalith.EventStore.ServiceDefaults	3.106.0	hexalith.eventstore.servicedefaults/3.106.0	d6de8900b824f97d243cd9072d7b831f51a8c5b052b6e4986ba352681436ea7f	a4d8f865d64c493eb7ee0d6e28392210c6541ad7e1b276e6f20e07c7994ce1b9	b8efc55994ae45783652f2d13c9a9dff97a994bef3bb4191b829b0ef8c9bb9f5	8e9d84378bc410299f7b10cbd73cacb5dfc5264f4457143f637f49efce185b1a
Hexalith.EventStore.DomainService	3.106.0	hexalith.eventstore.domainservice/3.106.0	acd8fb6c542d3e09ec9ad9e5a73874cc60f82fb1ef036fe19b4b50103d6fa7b8	02e265bf2a209b664efa9a10b648167f3632908ca90dba4ce0b1b1945ed8581d	d478e6690751dd63d3f4a69038b42ad4814343c417dd84f7adeccf7ed8e2a113	809957682ba670fe557e7dd615438caef14961cb72784c477dedeefdebb14071
Hexalith.EventStore.RestApi.Generators	3.106.0	hexalith.eventstore.restapi.generators/3.106.0	9e7dc2c8e09483005e673f1c3e803e0e82d5bdd56d08f9c4db2fdb5accebb012	f5ebb881906830def8da24892d766987d8168836c27bedffb57fb7b47431c17c	6530e58006a31d8cd41fd5b71d2e157b1868a79e1ae8981eaf47c46860eae5b5	3a44785f4de4a53823511cef790bcce0e22a0d5f4823bb67158c4fcbcda8f36b
